time_s,BIS,Ce_prop,Ce_remi,Cp_prop,Cp_remi,u_prop,u_remi,MAP,CO,HR,SV,TPR,ce_del,ce_bis
2670,0.3856182472066223,21.22476161329075,67.85025036963921,41.26157496146598,82.92107427797252,2.0,4.0,14.836334501677282,0.6432656487656256,31.387508125029203,20.49432042210032,0.023064086400613804,21.22476161329075,20.51051872011773
2675,0.3856182472066223,21.22476161329075,67.85025036963921,41.26157496146598,82.92107427797252,2.0,4.0,14.836334501677282,0.6432656487656256,31.387508125029203,20.49432042210032,0.023064086400613804,21.22476161329075,20.51051872011773
2680,0.3842167685445048,21.27439552870319,67.9388021912449,41.28374222725939,82.95964656797698,2.0,4.0,14.837937338130088,0.6427138248829143,31.37280771654523,20.48633423855026,0.023086382716029443,21.27439552870319,20.56110713494065
2685,0.38282588983203425,21.323961354977556,68.02706047587257,41.30583832220318,82.9981346444088,2.0,4.0,14.83954715222943,0.6421649390672179,31.358135879346186,20.478415602828463,0.023108622488460268,21.323961354977556,20.61162788265819
2690,0.38144550059442395,21.373459085144994,68.11502645304721,41.327863779851185,83.03653890713964,2.0,4.0,14.841163571464374,0.6416189597893976,31.343492602908462,20.47056363239685,0.023130805823343776,21.373459085144994,20.66208093400118
2695,0.38007549180389333,21.42288871356909,68.20270134741183,41.3498191290931,83.0748597514709,2.0,4.0,14.842786232463892,0.6410758560596982,31.32887787875944,20.462777458567675,0.023152932827159387,21.42288871356909,20.71246626127425
2700,0.38007549180389333,21.42288871356909,68.20270134741183,41.3498191290931,83.0748597514709,2.0,4.0,14.842786232463892,0.6410758560596982,31.32887787875944,20.462777458567675,0.023152932827159387,21.42288871356909,20.71246626127425
2705,0.3787157558571437,21.472250235931064,68.2900863787295,41.37170489419593,83.11309756820108,2.0,4.0,14.844414780802383,0.6405355974169544,31.314291700380853,20.455056226265018,0.0231750036073943,21.472250235931064,20.762783838338837
2710,0.3773661865529192,21.521543649215122,68.37718276188569,41.39352159484508,83.15125274369228,2.0,4.0,14.84604887080908,0.6399981539180201,31.299734063114798,20.447399093790594,0.023197018272510157,21.521543649215122,20.813033640596228
2715,0.3760266790703497,21.570768951693932,68.46399170689114,41.41526974618505,83.18932565993549,2.0,4.0,14.84768816538116,0.6394634961274128,31.285204964072328,20.439805232593727,0.023218976931910378,21.570768951693932,20.86321564497091
2720,0.3746971299473927,21.619926142914235,68.55051441888493,41.436949858859776,83.22731669461503,2.0,4.0,14.849332335800513,0.63893159510717,31.27070440204461,20.432273827045417,0.023240879695908274,21.619926142914235,20.913329829893964
2725,0.3746971299473927,21.619926142914235,68.55051441888493,41.436949858859776,83.22731669461503,2.0,4.0,14.849332335800513,0.63893159510717,31.27070440204461,20.432273827045417,0.023240879695908274,21.619926142914235,20.913329829893964
2730,0.3733774370598155,21.669015223682614,68.63675209813803,41.45856243905266,83.26522622117191,2.0,4.0,14.85098106155419,0.6384024224069155,31.25623237741656,20.4248040742165,0.02326272667569583,21.669015223682614,20.96337617528663
2735,0.3720674996004476,21.718036196051358,68.72270594005714,41.48010798852616,83.30305460886633,2.0,4.0,14.852634030158335,0.6378759500541278,31.241788892082887,20.41739518365975,0.023284517983313206,21.718036196051358,21.013354662544028
2740,0.3707672180589867,21.766989063304514,68.80837713518883,41.50158700466107,83.34080222283905,2.0,4.0,14.854290936985647,0.6373521505446096,31.22737394936654,20.41004637719588,0.023306253731618914,21.766989063304514,21.063265274519104
2745,0.3694764942019191,21.815873829944007,68.89376686922414,41.52299998049548,83.378469424172,2.0,4.0,14.855951485096217,0.6368309968331516,31.212987553939474,20.402756888703387,0.023327934034260655,21.815873829944007,21.113107995506613
2750,0.3694764942019191,21.815873829944007,68.89376686922414,41.52299998049548,83.378469424172,2.0,4.0,14.855951485096217,0.6368309968331516,31.212987553939474,20.402756888703387,0.023327934034260655,21.815873829944007,21.113107995506613
2755,0.3681952310529937,21.864690501675934,68.97887632300339,41.54434740476333,83.41605656994788,2.0,4.0,14.85761538507179,0.6363124623243909,31.198629711745678,20.395525963912178,0.02334955900564683,21.864690501675934,21.16288281122732
2760,0.3669233328739807,21.913439085396977,69.06370667252136,41.565629761932676,83.45356401330888,2.0,4.0,14.859282354853232,0.6357965208638535,31.184300429926427,20.388352860200865,0.023371128760918666,21.913439085396977,21.21258970881236
2765,0.36566070514572857,21.962119589180936,69.14825908893278,41.586847532243574,83.49099210351442,2.0,4.0,14.860952119581334,0.6352831467291857,31.169999716747725,20.381236846397737,0.023392643415923006,21.962119589180936,21.262228676787664
2770,0.36440725454961864,22.010732022265394,69.23253473855806,41.60800119174564,83.52834118599814,2.0,4.0,14.86262441144071,0.6347723146215618,31.15572758152985,20.374177202585244,0.023414103087185677,22.010732022265394,21.31179970505865
2775,0.36440725454961864,22.010732022265394,69.23253473855806,41.60800119174564,83.52834118599814,2.0,4.0,14.86262441144071,0.6347723146215618,31.15572758152985,20.374177202585244,0.023414103087185677,22.010732022265394,21.31179970505865
2780,0.3631628889493328,22.05927639503851,69.31653478288945,41.62909121233528,83.56561160242393,2.0,4.0,14.864298969506839,0.6342639996572712,31.141484034578973,20.36717321990806,0.023435507891885497,22.05927639503851,21.36130278489493
2785,0.36192751737290507,22.107752719025925,69.40026037859737,41.650118061792604,83.60280369074107,2.0,4.0,14.86597553959623,0.6337581773594789,31.127269087120837,20.36022420038453,0.023456857947828865,22.107752719025925,21.410737908915284
2790,0.36070104999512864,22.156161006877813,69.48371267753707,41.671082203817974,83.6399177852387,2.0,4.0,14.867653874119457,0.6332548236501538,31.113082751236387,20.35332945672152,0.02347815337342491,22.156161006877813,21.46010507107264
